transaction_id,timestamp,amount,currency,customer_id,merchant_id,device_id,payment_instrument_id,is_fraud
TXN_DEMO_00035,2026-03-01 16:30:00,640.00,INR,CUST_1008,MERCH_COFFEE_01,DEV_IPHONE_992,CARD_TOKEN_8808,0
TXN_DEMO_00036,2026-03-01 16:45:20,8200.00,INR,CUST_1022,MERCH_FURNITURE_01,DEV_IPAD_112,CARD_TOKEN_8822,0
TXN_DEMO_00037,2026-03-01 17:00:00,550.00,INR,CUST_1002,MERCH_GROCERY_01,DEV_IPHONE_332,CARD_TOKEN_8802,0
TXN_DEMO_00038,2026-03-01 17:15:10,1800.00,INR,CUST_1023,MERCH_APPAREL_03,DEV_ANDROID_665,CARD_TOKEN_8823,0
TXN_DEMO_00039,2026-03-01 17:30:00,340.00,INR,CUST_1003,MERCH_TRANSIT_01,DEV_PIXEL_119,CARD_TOKEN_8803,0
TXN_DEMO_00040,2026-03-01 17:45:30,4600.00,INR,CUST_1024,MERCH_DINING_01,DEV_IPHONE_221,CARD_TOKEN_8824,0
TXN_DEMO_00041,2026-03-01 18:00:00,720.00,INR,CUST_1004,MERCH_FOOD_05,DEV_SAMSUNG_441,CARD_TOKEN_8804,0
TXN_DEMO_00042,2026-03-01 18:15:00,3200.00,INR,CUST_1025,MERCH_ELECTRONICS_03,DEV_SAMSUNG_991,CARD_TOKEN_8825,0
TXN_DEMO_00043,2026-03-01 18:30:25,1150.00,INR,CUST_1026,MERCH_RETAIL_04,DEV_ONEPLUS_442,CARD_TOKEN_8826,0
TXN_DEMO_00044,2026-03-01 18:45:00,450.00,INR,CUST_1005,MERCH_COFFEE_04,DEV_IPHONE_772,CARD_TOKEN_8805,0
TXN_DEMO_00045,2026-03-01 19:00:10,8500.00,INR,CUST_1027,MERCH_HOTEL_01,DEV_IPAD_881,CARD_TOKEN_8827,0
TXN_DEMO_00046,2026-03-01 19:15:40,2200.00,INR,CUST_1028,MERCH_DINING_02,DEV_ANDROID_334,CARD_TOKEN_8828,0
TXN_DEMO_00047,2026-03-01 19:30:00,590.00,INR,CUST_1006,MERCH_FOOD_08,DEV_XIAOMI_551,CARD_TOKEN_8806,0
TXN_DEMO_00048,2026-03-01 19:45:15,1750.00,INR,CUST_1029,MERCH_RETAIL_11,DEV_IPHONE_663,CARD_TOKEN_8829,0
TXN_DEMO_00049,2026-03-01 20:00:00,3100.00,INR,CUST_1030,MERCH_ENTERTAINMENT_01,DEV_SAMSUNG_221,CARD_TOKEN_8830,0
TXN_DEMO_00050,2026-03-01 20:15:30,480.00,INR,CUST_1001,MERCH_FOOD_01,DEV_ANDROID_991,CARD_TOKEN_8801,0
TXN_DEMO_00051,2026-03-01 23:45:00,92000.00,INR,CUST_1031,MERCH_CRYPTO_01,DEV_UNKNOWN_TOR_01,CARD_TOKEN_8831,1
TXN_DEMO_00052,2026-03-02 02:15:10,75000.00,INR,CUST_1032,MERCH_LUXURY_02,DEV_UNKNOWN_VPN_02,CARD_TOKEN_8832,1
TXN_DEMO_00053,2026-03-02 08:30:00,620.00,INR,CUST_1001,MERCH_GROCERY_01,DEV_ANDROID_991,CARD_TOKEN_8801,0
TXN_DEMO_00054,2026-03-02 09:00:15,1450.00,INR,CUST_1002,MERCH_COFFEE_04,DEV_IPHONE_332,CARD_TOKEN_8802,0
TXN_DEMO_00055,2026-03-02 09:30:00,280.00,INR,CUST_1003,MERCH_TRANSIT_01,DEV_PIXEL_119,CARD_TOKEN_8803,0
