id,name,category,created_at,typical_order_value,typical_order_value_std,expected_daily_transactions,tier
53,HealZone_0009,health,2025-03-02 06:02:27,1389.85,1035.03,3,small
54,ByteShift_0009,digital_services,2025-01-29 16:51:54,549.02,349.88,10,small
55,CloudSync_0010,digital_services,2025-02-05 19:11:37,472.71,356.0,6,small
56,MediCare_0010,health,2025-01-28 05:02:41,1403.84,360.94,11,medium
57,MealBox_0012,food_delivery,2025-01-25 00:20:42,400.71,215.91,61,large
58,SkillCraft_0002,education,2025-01-25 00:02:54,3014.62,2735.13,2,small
59,FabricLane_0009,fashion,2025-02-03 21:57:36,2347.33,1066.31,14,medium
60,StyleStreet_0010,fashion,2025-01-05 21:30:28,2414.26,1428.67,46,large
61,DataFlow_0011,digital_services,2025-02-14 18:19:38,426.74,272.52,107,large
62,QuickEats_0013,food_delivery,2025-01-22 04:37:36,388.72,192.88,44,medium
63,ClassBridge_0003,education,2025-01-04 05:44:01,3422.48,1995.36,13,large
64,HealthFirst_0011,health,2025-01-08 13:50:16,1956.22,1192.83,16,large
65,StreamLine_0012,digital_services,2025-01-09 01:38:55,533.2,364.99,35,medium
66,StudyNest_0004,education,2025-01-05 05:17:45,3187.5,2028.25,3,small
67,BrainWorks_0005,education,2025-01-23 05:03:24,3685.84,2547.9,2,small
68,ValueMart_0006,grocery,2025-01-29 19:52:59,536.32,379.59,13,small
69,ByteStore_0004,electronics,2025-01-15 13:54:18,8740.99,4088.79,3,small
70,TastyTrail_0014,food_delivery,2025-01-15 06:28:47,412.54,251.26,11,small
71,StaplePick_0007,grocery,2025-01-07 16:48:05,766.44,436.34,10,small
72,SpiceRoute_0015,food_delivery,2025-01-31 07:55:52,549.66,218.76,36,medium
73,LivingSpace_0005,home,2025-02-17 02:55:28,4163.26,3679.66,12,medium
74,FarmDirect_0008,grocery,2025-01-14 16:46:07,538.91,340.25,42,medium
75,CircuitCity_0005,electronics,2025-01-13 16:51:55,7890.87,5886.24,2,small
76,GroceHub_0009,grocery,2025-02-05 16:11:11,643.51,433.36,10,small
77,FreshMart_0010,grocery,2025-01-24 11:09:03,755.78,233.26,34,medium
78,AppForge_0013,digital_services,2025-01-11 21:57:05,594.42,394.21,23,medium
79,CourseTrail_0006,education,2025-01-23 17:05:07,2832.63,2783.72,24,large
80,WellnessHub_0012,health,2025-01-05 21:18:45,1719.43,1175.28,30,large
81,NetPulse_0014,digital_services,2025-01-15 11:04:04,323.11,221.93,90,large
82,ChefDoor_0016,food_delivery,2025-01-16 03:03:28,338.19,188.11,8,small
83,PharmEasy_0013,health,2025-01-28 02:13:28,2291.98,1433.03,2,small
84,TrendSet_0011,fashion,2025-02-12 00:03:40,2292.43,969.5,4,small
85,MegaPixel_0006,electronics,2025-01-30 11:02:56,10664.16,3626.65,7,medium
86,FashionVault_0012,fashion,2025-01-20 21:24:04,1860.69,1475.09,1,large
87,SaaSPoint_0015,digital_services,2025-01-24 03:18:11,460.15,297.25,7,small
88,HungryOwl_0017,food_delivery,2025-01-12 12:56:59,501.81,248.08,28,medium
89,LookBook_0013,fashion,2025-02-01 13:39:01,2953.66,858.42,6,small
90,TripWise_0001,travel,2025-02-21 19:25:35,12359.59,7194.08,1,small
91,WearHouse_0014,fashion,2025-01-22 05:40:47,2187.94,1250.02,3,small
92,CodeBridge_0016,digital_services,2025-02-02 03:30:21,478.95,253.76,5,small
93,DineExpress_0018,food_delivery,2025-01-12 10:14:34,400.96,154.0,131,large
94,CraveTown_0019,food_delivery,2025-02-01 14:49:08,475.95,204.83,23,small
95,DailyNeeds_0011,grocery,2025-02-07 23:47:37,417.9,382.85,40,medium
96,DigitalNex_0017,digital_services,2025-01-31 11:13:27,573.41,342.99,28,medium
97,BiteBuddy_0020,food_delivery,2025-02-13 13:06:59,460.36,170.24,17,small
98,ThreadBarn_0015,fashion,2025-02-07 13:03:06,1523.6,1386.44,4,small
99,UrbanStitch_0016,fashion,2025-01-31 23:56:39,2024.66,1144.19,14,medium
100,TicketBay_0005,entertainment,2025-01-26 03:49:44,994.6,823.35,8,small
101,WallCraft_0006,home,2025-01-25 21:03:42,3991.21,3377.87,36,large
102,PlatformX_0018,digital_services,2025-01-15 08:26:14,416.74,224.35,8,small
103,GreenBasket_0012,grocery,2025-01-03 08:40:57,734.81,237.17,31,medium
104,EventPulse_0006,entertainment,2025-02-06 17:05:06,885.9,504.17,28,medium
105,VitalCare_0014,health,2025-02-04 18:12:04,1376.59,1470.43,1,small
106,ByteShift_0019,digital_services,2025-02-07 17:34:14,317.38,296.47,5,small
107,FoodDash_0021,food_delivery,2025-02-24 10:48:25,447.67,197.05,141,large
108,QuickGrocery_0013,grocery,2025-01-20 03:44:36,561.55,380.29,10,small
109,ModaFit_0017,fashion,2025-01-30 00:51:09,2597.32,1156.71,3,small
110,CozyCorner_0007,home,2025-01-30 01:25:13,2981.06,2896.73,1,small
111,MealBox_0022,food_delivery,2025-01-05 09:45:17,369.0,221.1,7,small
112,PantryPlus_0014,grocery,2025-02-13 13:22:42,798.28,361.18,39,medium
113,NatureFresh_0015,grocery,2025-01-13 20:34:56,541.35,403.51,39,medium
114,AcadEdge_0007,education,2025-01-21 19:20:19,2985.43,2599.91,1,small
115,ClosetBox_0018,fashion,2025-01-07 23:37:58,1611.28,931.16,16,medium
116,RoomStyle_0008,home,2025-01-09 08:17:17,4497.07,3629.39,2,small
117,CureQuick_0015,health,2025-01-26 00:42:39,1972.4,977.23,2,small
118,CloudSync_0020,digital_services,2025-02-06 03:15:36,534.68,296.04,24,medium
119,QuickEats_0023,food_delivery,2025-01-03 22:40:26,452.52,194.82,143,large
120,DataFlow_0021,digital_services,2025-01-14 07:04:02,462.87,221.7,9,small
121,MentorLab_0008,education,2025-01-15 13:22:42,2897.96,1989.84,2,small
122,StreamLine_0022,digital_services,2025-02-06 09:59:59,566.06,311.14,25,medium
123,FabricLane_0019,fashion,2025-01-23 07:02:27,1994.32,1352.6,4,medium
124,TastyTrail_0024,food_delivery,2025-01-15 12:40:44,497.84,125.04,8,small
125,PowerTech_0007,electronics,2025-01-15 09:04:52,7882.88,5736.1,3,small
126,SkyRoute_0002,travel,2025-01-30 09:48:31,13695.57,8570.47,2,medium
127,ValueMart_0016,grocery,2025-01-15 07:17:05,666.46,311.55,9,small
128,StyleStreet_0020,fashion,2025-02-20 16:12:18,2255.73,1086.93,5,small
129,TrendSet_0021,fashion,2025-02-14 04:45:14,1503.06,1218.0,3,small
130,KnowPath_0009,education,2025-01-30 09:08:26,3192.77,2652.31,1,small
131,FashionVault_0022,fashion,2025-02-05 17:55:35,2259.12,1149.04,3,small
132,MediaWave_0007,entertainment,2025-01-28 15:51:23,729.41,484.54,46,large
133,LearnHub_0010,education,2025-02-08 21:47:14,3505.32,2360.91,8,medium
134,StaplePick_0017,grocery,2025-01-19 09:09:41,816.93,379.07,35,medium
135,EduVerse_0011,education,2025-03-05 17:20:10,3609.4,1986.59,26,large
136,SmartBuy_0008,electronics,2025-02-26 02:46:10,8115.91,3002.56,2,small
137,StarStream_0008,entertainment,2025-01-01 15:38:30,724.16,464.45,4,small
138,SpiceRoute_0025,food_delivery,2025-01-10 16:06:50,627.55,173.5,56,large
139,LifePulse_0016,health,2025-01-29 02:52:45,1320.02,1151.86,5,small
140,LookBook_0023,fashion,2025-02-07 03:43:50,1954.55,1506.95,18,medium
141,ChefDoor_0026,food_delivery,2025-01-10 21:49:31,438.63,189.58,52,medium
142,WanderBook_0003,travel,2025-02-10 05:43:33,14105.89,8635.67,1,small
143,AmusePark_0009,entertainment,2025-01-14 23:12:47,773.87,698.13,6,small
144,SkillCraft_0012,education,2025-01-26 23:00:22,4151.99,2769.94,3,small
145,HungryOwl_0027,food_delivery,2025-01-26 09:33:00,456.52,235.9,18,small
146,FarmDirect_0018,grocery,2025-01-12 00:29:17,677.71,301.44,13,small
147,GroceHub_0019,grocery,2025-01-29 14:11:18,642.96,328.42,21,small
148,FlyEasy_0004,travel,2025-01-14 10:29:34,8306.28,9533.62,3,medium
149,DineExpress_0028,food_delivery,2025-01-08 21:25:36,457.87,302.74,106,large
150,ChipNex_0009,electronics,2025-01-02 23:11:38,7631.35,3985.99,5,medium
151,DocConnect_0017,health,2025-02-06 21:01:10,2065.22,893.09,4,small
152,BuildMart_0009,home,2025-01-28 20:24:31,3303.73,1915.9,2,small
153,WearHouse_0024,fashion,2025-01-26 22:34:32,1635.34,1564.38,2,small
154,ClassBridge_0013,education,2025-01-10 11:00:15,2721.73,2706.81,2,small
155,ThreadBarn_0025,fashion,2025-01-16 23:36:49,1653.38,1689.59,31,large
156,AppForge_0023,digital_services,2025-01-29 14:47:50,482.34,287.45,10,small
157,FreshMart_0020,grocery,2025-01-15 15:51:55,698.55,292.12,10,small
158,NetPulse_0024,digital_services,2025-02-19 09:07:30,479.58,344.94,19,medium
159,SaaSPoint_0025,digital_services,2025-02-05 09:47:22,681.63,254.45,8,small
160,FitPath_0018,health,2025-01-23 19:57:01,1452.0,740.37,2,small
161,UrbanStitch_0026,fashion,2025-01-28 20:22:33,1850.61,1100.58,3,small
162,HomeNest_0010,home,2025-02-10 21:44:02,5126.0,2530.21,7,medium
163,DailyNeeds_0021,grocery,2025-02-23 00:32:55,608.74,419.5,42,medium
164,TechZone_0010,electronics,2025-02-19 17:35:55,8380.37,2853.56,1,small
165,StudyNest_0014,education,2025-01-08 23:11:26,2541.19,3153.43,34,large
166,CraveTown_0029,food_delivery,2025-01-13 08:35:51,398.3,177.43,112,large
167,HealZone_0019,health,2025-01-08 15:03:47,1534.24,1092.06,10,medium
168,MediCare_0020,health,2025-02-05 14:12:54,2424.35,1250.07,5,small
169,GreenBasket_0022,grocery,2025-02-14 21:59:12,720.49,320.41,14,small
170,FunZone_0010,entertainment,2025-01-14 21:17:04,747.68,663.03,67,large
171,QuickGrocery_0023,grocery,2025-01-18 04:24:56,677.55,358.9,18,small
172,TravelNest_0005,travel,2025-01-14 11:55:31,8559.0,10941.26,4,medium
173,PantryPlus_0024,grocery,2025-01-09 05:38:22,502.35,297.35,20,medium
174,PlayBox_0011,entertainment,2025-03-04 19:19:00,898.05,396.17,6,small
175,ModaFit_0027,fashion,2025-01-22 05:02:36,2608.32,1038.72,13,medium
176,GadgetHub_0011,electronics,2025-02-03 22:33:06,6935.96,3689.31,42,large
177,BiteBuddy_0030,food_delivery,2025-03-01 23:19:30,496.68,189.41,40,medium
178,JoyRide_0012,entertainment,2025-02-25 02:45:54,793.6,513.01,5,small
179,InteriorCo_0011,home,2025-01-06 08:45:52,4977.05,2427.93,21,large
180,CodeBridge_0026,digital_services,2025-01-21 08:59:33,533.32,229.88,36,medium
181,DecorVault_0012,home,2025-01-30 11:02:04,4487.15,1903.25,10,medium
182,FurniWorld_0013,home,2025-02-20 12:08:04,2983.37,3416.02,9,medium
183,VoyagePlan_0006,travel,2025-01-26 00:40:30,16442.6,9714.1,3,medium
184,NatureFresh_0025,grocery,2025-01-07 17:21:44,437.82,297.14,7,small
185,HealthFirst_0021,health,2025-01-20 12:22:15,2347.72,997.94,4,small
186,DigitalNex_0027,digital_services,2025-01-01 18:28:11,474.35,289.22,8,small
187,FoodDash_0031,food_delivery,2025-01-31 11:56:58,516.39,212.46,34,medium
188,ClosetBox_0028,fashion,2025-02-05 15:28:40,2784.11,1129.72,12,medium
189,PlatformX_0028,digital_services,2025-01-23 02:28:42,245.34,338.06,30,medium
190,ValueMart_0026,grocery,2025-02-13 18:13:19,660.49,321.8,9,small
191,GameVerse_0013,entertainment,2025-01-09 09:25:47,744.56,546.32,23,medium
192,StaplePick_0027,grocery,2025-02-02 06:22:05,625.74,416.43,117,large
193,FabricLane_0029,fashion,2025-01-15 05:38:33,2018.48,1247.62,2,small
194,HouseJoy_0014,home,2025-01-15 07:43:16,4709.45,2074.69,6,medium
195,StyleStreet_0030,fashion,2025-01-14 09:15:30,1473.27,1157.97,22,medium
196,TrendSet_0031,fashion,2025-02-02 05:04:17,2157.85,1354.46,25,medium
197,BrainWorks_0015,education,2025-01-26 23:18:58,3803.04,2117.39,2,small
198,LivingSpace_0015,home,2025-01-25 03:43:23,4500.59,2620.26,8,medium
199,FashionVault_0032,fashion,2025-02-06 08:16:12,2554.69,1446.28,22,large
200,FarmDirect_0028,grocery,2025-01-20 17:28:34,564.09,317.52,47,medium
201,WellnessHub_0022,health,2025-01-20 17:06:31,2142.92,1540.39,30,large
202,ShowTime_0014,entertainment,2025-02-21 07:34:03,737.64,558.86,47,large
203,GlobeHopper_0007,travel,2025-01-09 12:37:56,11661.69,7335.94,1,small
204,LookBook_0033,fashion,2025-01-12 06:54:58,2244.36,1156.23,20,medium
205,ElectroMart_0012,electronics,2025-02-19 20:09:42,8506.59,2996.2,2,small
206,GroceHub_0029,grocery,2025-02-09 13:12:53,430.44,265.24,142,large
207,WearHouse_0034,fashion,2025-01-17 15:36:52,2110.96,1421.4,1,small
208,ByteShift_0029,digital_services,2025-01-14 10:04:50,478.18,271.47,11,small
209,ThreadBarn_0035,fashion,2025-01-15 10:54:26,2442.19,1354.14,65,large
210,RouteMaster_0008,travel,2025-02-11 14:30:43,11116.59,10136.13,1,small
211,CloudSync_0030,digital_services,2025-01-20 06:22:04,402.72,345.16,16,medium
212,CourseTrail_0016,education,2025-01-10 21:18:27,3929.57,2550.66,3,small
213,UrbanStitch_0036,fashion,2025-02-08 19:16:34,2178.6,1213.45,51,large
214,PharmEasy_0023,health,2025-01-09 08:59:02,1601.21,858.76,41,large
215,DataFlow_0031,digital_services,2025-01-18 12:21:48,497.36,275.56,8,small
216,StreamLine_0032,digital_services,2025-02-14 18:09:18,643.51,273.42,25,medium
217,ModaFit_0037,fashion,2025-01-29 10:19:04,1585.32,1189.84,5,small
218,ClosetBox_0038,fashion,2025-03-06 23:01:35,2501.03,1225.97,19,medium
219,TicketBay_0015,entertainment,2025-01-21 18:05:42,909.68,611.3,25,medium
220,MealBox_0032,food_delivery,2025-01-20 02:46:48,544.2,193.21,30,medium
221,FreshMart_0030,grocery,2025-01-16 23:36:40,719.69,404.64,17,small
222,QuickEats_0033,food_delivery,2025-02-05 11:50:46,526.88,277.82,17,small
223,AppForge_0033,digital_services,2025-01-24 17:11:23,520.59,216.9,32,medium
224,EventPulse_0016,entertainment,2025-02-02 15:27:38,717.12,521.15,20,medium
225,DailyNeeds_0031,grocery,2025-01-10 16:34:37,699.53,343.19,15,small
226,MediaWave_0017,entertainment,2025-02-07 12:31:53,391.53,519.0,8,small
227,DigitalWorld_0013,electronics,2025-02-01 06:48:47,10744.06,4585.57,3,small
228,AcadEdge_0017,education,2025-01-26 12:14:18,3626.7,2501.43,34,large
229,NetPulse_0034,digital_services,2025-01-15 10:35:00,499.71,253.06,7,small
230,FabricLane_0039,fashion,2025-02-18 16:15:43,1799.62,1326.81,4,small
231,StyleStreet_0040,fashion,2025-02-06 07:00:03,2070.3,1064.0,51,large
232,TastyTrail_0034,food_delivery,2025-01-28 04:58:01,496.83,154.78,9,small
233,StarStream_0018,entertainment,2025-01-06 13:34:02,943.18,362.49,23,medium
234,MentorLab_0018,education,2025-01-27 11:05:21,4712.68,3309.62,3,small
235,AmusePark_0019,entertainment,2025-01-27 08:28:37,906.32,725.19,17,large
236,VitalCare_0024,health,2025-01-14 19:43:38,1660.7,1169.7,10,medium
237,SpiceRoute_0035,food_delivery,2025-01-16 21:25:47,524.39,198.43,155,large
238,CureQuick_0025,health,2025-02-10 09:38:34,1717.6,895.5,3,small
239,ByteStore_0014,electronics,2025-01-22 15:38:01,8825.4,3380.35,10,medium
240,TrendSet_0041,fashion,2025-01-09 13:03:40,2435.16,1463.86,9,medium
241,LifePulse_0026,health,2025-01-22 00:09:30,1290.16,999.16,6,small
242,DocConnect_0027,health,2025-01-08 06:33:14,2179.86,889.11,4,small
243,GreenBasket_0032,grocery,2025-01-18 15:20:26,726.4,254.21,16,small
244,PackNGo_0009,travel,2025-03-12 22:08:57,11598.18,7854.91,15,large
245,KnowPath_0019,education,2025-01-24 20:50:22,4358.41,2122.41,4,medium
246,WallCraft_0016,home,2025-02-01 06:34:04,4790.66,1773.81,9,medium
247,LearnHub_0020,education,2025-01-24 22:11:52,4390.16,2789.55,13,medium
248,ChefDoor_0036,food_delivery,2025-01-08 02:48:31,487.22,296.41,41,medium
249,HungryOwl_0037,food_delivery,2025-01-24 11:18:59,473.89,182.48,19,small
250,DineExpress_0038,food_delivery,2025-01-21 22:24:15,446.31,268.75,12,small
251,SaaSPoint_0035,digital_services,2025-02-18 07:16:03,626.64,335.59,29,medium
252,CozyCorner_0017,home,2025-01-16 17:24:08,4988.2,3156.76,3,small
253,CraveTown_0039,food_delivery,2025-02-12 18:40:04,437.59,171.94,134,large
254,QuickGrocery_0033,grocery,2025-01-12 23:48:51,473.27,408.94,25,medium
255,PantryPlus_0034,grocery,2025-01-30 22:50:54,627.15,395.36,15,small
256,CodeBridge_0036,digital_services,2025-01-08 10:14:48,340.28,294.49,34,medium
257,FitPath_0028,health,2025-02-02 10:37:32,1815.6,1268.81,2,small
258,FashionVault_0042,fashion,2025-01-12 16:06:29,1462.35,1394.48,37,large
259,CircuitCity_0015,electronics,2025-01-04 09:15:38,6389.75,3873.19,32,large
260,EduVerse_0021,education,2025-01-11 18:07:51,2552.56,3668.0,22,large
261,LookBook_0043,fashion,2025-01-31 00:59:05,2231.32,907.41,4,small
262,HealZone_0029,health,2025-01-24 11:05:35,1759.88,702.1,6,small
263,NatureFresh_0035,grocery,2025-01-05 07:21:02,597.99,315.39,15,small
264,WearHouse_0044,fashion,2025-01-30 06:26:51,2853.13,1470.34,2,small
265,FunZone_0020,entertainment,2025-01-23 03:07:42,832.09,311.86,7,small
266,ThreadBarn_0045,fashion,2025-01-12 06:02:29,1611.33,1007.23,4,small
267,ValueMart_0036,grocery,2025-01-16 12:18:18,696.73,331.73,174,large
268,UrbanStitch_0046,fashion,2025-01-25 12:35:43,2460.37,1354.73,2,small
269,ModaFit_0047,fashion,2025-01-22 08:55:37,2811.77,1007.26,6,small
270,MegaPixel_0016,electronics,2025-01-15 00:20:08,10926.63,4410.13,10,medium
271,PowerTech_0017,electronics,2025-01-16 15:34:13,4800.5,3844.0,10,medium
272,ClosetBox_0048,fashion,2025-01-09 10:26:45,2532.82,907.27,13,medium
273,SmartBuy_0018,electronics,2025-01-14 16:00:45,5456.36,4330.39,3,medium
274,SkillCraft_0022,education,2025-01-05 20:55:00,4347.86,3091.36,25,large
275,DigitalNex_0037,digital_services,2025-01-05 19:09:59,546.91,286.97,32,medium
276,BiteBuddy_0040,food_delivery,2025-01-12 13:23:27,381.16,224.9,25,medium
277,StaplePick_0037,grocery,2025-02-01 09:31:37,457.86,341.47,37,medium
278,JetSetGo_0010,travel,2025-01-21 16:48:37,12653.52,6960.79,2,small
279,RoomStyle_0018,home,2025-02-01 12:00:27,4644.54,3139.73,3,small
280,BuildMart_0019,home,2025-01-23 20:10:29,5402.62,3345.61,3,small
281,ChipNex_0019,electronics,2025-01-29 11:47:54,9383.18,2540.31,1,small
282,FabricLane_0049,fashion,2025-01-12 13:59:50,2172.62,1152.56,17,medium
283,FarmDirect_0038,grocery,2025-01-11 22:57:49,652.1,390.73,7,small
284,GroceHub_0039,grocery,2025-01-20 17:19:01,648.87,256.13,13,small
285,ClassBridge_0023,education,2025-01-30 03:14:11,2091.29,2674.16,1,small
286,FoodDash_0041,food_delivery,2025-01-11 03:09:00,426.99,235.8,53,medium
287,TechZone_0020,electronics,2025-01-16 12:55:07,6525.21,3462.08,1,small
288,MealBox_0042,food_delivery,2025-01-14 00:05:54,348.31,204.71,58,medium
289,TripWise_0011,travel,2025-03-05 14:49:43,13057.45,8964.2,14,large
290,StyleStreet_0050,fashion,2025-01-26 03:22:57,2101.58,942.46,3,small
291,HomeNest_0020,home,2025-01-24 08:55:21,3310.79,2492.9,10,medium
292,GadgetHub_0021,electronics,2025-01-13 23:50:27,8358.63,6451.78,1,small
293,PlayBox_0021,entertainment,2025-02-08 06:03:54,781.24,357.63,5,small
294,TrendSet_0051,fashion,2025-01-19 11:30:44,2075.05,1402.77,12,medium
295,InteriorCo_0021,home,2025-02-18 05:33:24,4327.81,2741.81,17,large
296,DecorVault_0022,home,2025-01-21 05:33:19,3913.11,2770.84,3,small
297,JoyRide_0022,entertainment,2025-01-25 01:10:06,883.84,476.54,18,medium
298,MediCare_0030,health,2025-01-13 08:16:34,1283.76,1107.95,2,small
299,HealthFirst_0031,health,2025-02-09 20:11:16,2024.14,1263.29,11,medium
300,PlatformX_0038,digital_services,2025-02-26 00:50:29,407.9,299.0,33,medium
301,WellnessHub_0032,health,2025-01-22 07:07:40,1705.34,887.19,14,medium
302,FashionVault_0052,fashion,2025-02-06 23:12:50,2379.13,1116.89,7,medium
303,SkyRoute_0012,travel,2025-03-13 18:46:17,13095.31,6772.28,1,small
304,WanderBook_0013,travel,2025-02-24 18:14:49,12362.78,4977.68,5,medium
305,FurniWorld_0023,home,2025-01-08 21:24:05,4963.08,3382.29,10,medium
306,QuickEats_0043,food_delivery,2025-02-15 20:47:13,331.37,251.08,56,medium
307,TastyTrail_0044,food_delivery,2025-01-05 15:38:39,377.8,168.49,16,small
308,ByteShift_0039,digital_services,2025-01-07 14:19:44,561.18,270.72,11,small
309,FreshMart_0040,grocery,2025-02-10 05:38:58,461.76,277.03,4,small
310,LookBook_0053,fashion,2025-01-13 10:25:06,1876.93,1561.94,7,small
311,SpiceRoute_0045,food_delivery,2025-01-11 13:08:19,464.08,174.46,14,small
312,ChefDoor_0046,food_delivery,2025-02-21 16:40:48,478.4,137.48,12,small
313,DailyNeeds_0041,grocery,2025-01-08 03:41:30,800.66,276.8,31,medium
314,HungryOwl_0047,food_delivery,2025-02-17 10:45:31,450.79,211.33,12,small
315,DineExpress_0048,food_delivery,2025-01-24 11:34:23,454.62,224.32,79,medium
316,GreenBasket_0042,grocery,2025-02-24 02:56:23,636.74,347.11,58,medium
317,CraveTown_0049,food_delivery,2025-02-26 01:44:46,417.05,147.03,53,medium
318,CloudSync_0040,digital_services,2025-02-09 18:20:16,596.86,321.66,8,small
319,QuickGrocery_0043,grocery,2025-01-28 17:39:27,497.92,345.91,16,small
320,GameVerse_0023,entertainment,2025-01-15 05:46:01,614.88,475.53,17,medium
321,HouseJoy_0024,home,2025-02-01 14:05:36,3872.07,3148.75,33,large
322,BiteBuddy_0050,food_delivery,2025-03-13 04:55:03,475.97,160.93,7,small
323,PantryPlus_0044,grocery,2025-02-05 12:47:19,677.55,314.59,62,medium
324,FlyEasy_0014,travel,2025-02-22 05:18:53,16522.82,11185.1,3,medium
325,LivingSpace_0025,home,2025-02-08 15:04:54,5012.43,3522.57,12,medium
326,DataFlow_0041,digital_services,2025-01-21 06:36:36,468.1,376.75,9,small
327,PharmEasy_0033,health,2025-01-13 14:37:11,1838.43,692.43,14,medium
328,TravelNest_0015,travel,2025-01-24 05:11:00,11375.01,8743.65,1,small
329,StreamLine_0042,digital_services,2025-01-15 12:44:02,516.28,297.26,111,large
330,NatureFresh_0045,grocery,2025-02-08 15:19:18,629.12,248.14,14,small
331,AppForge_0043,digital_services,2025-01-02 09:30:21,427.19,220.54,6,small
332,ValueMart_0046,grocery,2025-02-01 05:32:47,679.75,343.24,43,large
333,NetPulse_0044,digital_services,2025-01-18 22:04:05,465.47,370.15,7,small
