id,segment,account_created_at,typical_amount,txn_per_month
82,low_frequency,2025-02-11 09:47:52,897.6,0.69
83,regular,2025-02-05 22:48:01,1353.65,2.86
84,high_frequency,2025-03-13 02:56:57,2716.13,17.57
85,regular,2025-03-07 18:34:47,1113.89,4.94
86,high_frequency,2025-01-16 20:33:25,1033.18,13.4
87,regular,2025-02-19 23:16:52,2348.95,4.09
88,regular,2025-02-04 14:10:20,4795.3,2.12
89,low_frequency,2025-01-29 22:01:39,714.42,1.38
90,low_frequency,2025-02-09 03:30:43,538.93,1.91
91,regular,2025-03-06 23:40:12,860.74,5.13
92,high_frequency,2025-01-28 13:14:14,3271.21,18.35
93,low_frequency,2025-01-23 02:33:24,871.14,0.47
94,high_value,2025-01-03 15:14:58,7637.31,0.84
95,low_frequency,2025-04-28 02:57:48,2244.5,1.24
96,regular,2025-04-25 09:41:14,1582.82,5.24
97,high_frequency,2025-03-03 07:01:10,2062.12,16.6
98,high_frequency,2025-06-01 17:26:50,650.71,13.23
99,regular,2025-02-26 19:08:46,2266.63,5.42
100,low_frequency,2025-01-02 02:18:05,2115.18,0.52
101,low_frequency,2025-03-06 13:58:55,563.95,1.27
102,low_frequency,2025-02-13 00:48:53,1865.56,0.57
103,high_frequency,2025-01-25 01:52:54,861.42,5.57
104,low_frequency,2025-04-03 08:31:49,1137.07,0.58
105,regular,2025-01-21 01:29:10,2531.43,3.15
106,low_frequency,2025-02-27 15:25:40,7714.49,0.89
107,regular,2025-01-11 03:33:33,1211.21,5.09
108,low_frequency,2025-02-06 13:32:21,564.03,0.32
109,regular,2025-04-12 14:00:28,1440.98,3.61
110,regular,2025-03-30 09:52:50,1726.41,3.64
111,high_value,2025-02-10 04:42:14,1944.46,4.76
112,high_frequency,2025-01-12 01:34:29,1709.15,10.35
113,regular,2025-05-12 11:22:49,1785.9,1.61
114,low_frequency,2025-01-23 07:06:00,676.17,1.38
115,high_value,2025-02-10 12:11:44,1863.42,3.98
116,high_frequency,2025-02-05 11:13:30,997.16,13.59
117,high_frequency,2025-01-28 23:25:06,764.87,13.68
118,regular,2025-02-10 17:07:57,1690.03,1.45
119,low_frequency,2025-02-06 02:12:27,2690.8,0.72
120,high_frequency,2025-04-13 00:28:32,1716.06,16.3
121,low_frequency,2025-02-24 23:50:22,4345.31,0.46
122,low_frequency,2025-02-21 09:19:39,1043.3,1.38
123,low_frequency,2025-03-04 08:33:46,944.34,0.85
124,regular,2025-03-08 19:36:45,2598.77,0.26
125,low_frequency,2025-04-09 01:53:54,1842.77,1.36
126,regular,2025-01-05 08:41:47,403.24,4.5
127,regular,2025-01-13 12:07:47,2536.72,2.93
128,regular,2025-01-01 11:41:39,879.33,4.81
129,low_frequency,2025-01-07 05:16:43,1451.58,0.93
130,high_value,2025-03-17 05:02:37,2288.31,2.55
131,regular,2025-01-20 12:21:49,4004.5,3.26
132,regular,2025-01-19 14:23:07,849.57,4.73
133,regular,2025-02-02 10:48:09,1249.38,4.86
134,low_frequency,2025-03-17 01:02:19,1570.6,0.9
135,regular,2025-02-07 07:30:43,2090.28,5.0
136,low_frequency,2025-02-12 16:31:24,2009.08,1.09
137,high_frequency,2025-02-20 10:16:59,2292.07,20.94
138,low_frequency,2025-04-11 05:54:48,1698.09,0.92
139,high_value,2025-03-11 14:02:38,4812.33,1.81
140,regular,2025-01-10 19:05:42,845.43,3.39
141,low_frequency,2025-03-20 09:25:49,524.54,0.58
142,regular,2025-03-07 11:33:14,1874.92,6.8
143,low_frequency,2025-04-09 12:00:14,4498.9,1.07
144,high_value,2025-02-08 16:04:38,6205.12,2.86
145,high_frequency,2025-01-22 04:10:35,528.15,11.02
146,regular,2025-03-12 20:26:09,1034.05,4.95
147,regular,2025-02-09 07:40:43,506.18,4.8
148,high_value,2025-02-11 11:02:16,2969.21,4.04
149,regular,2025-02-26 20:26:06,1774.28,3.07
150,regular,2025-04-27 17:56:02,991.13,4.95
151,low_frequency,2025-01-25 13:49:17,821.96,1.53
152,low_frequency,2025-01-19 20:31:46,973.14,1.71
153,regular,2025-03-10 09:59:53,2273.4,3.34
154,regular,2025-01-25 05:03:28,830.22,5.81
155,high_frequency,2025-02-21 18:35:21,960.35,11.01
156,regular,2025-04-11 19:42:35,5758.95,3.4
157,regular,2025-01-11 04:26:20,1832.79,2.73
158,regular,2025-02-10 08:59:16,2261.57,3.75
159,high_frequency,2025-01-05 14:41:48,633.6,9.4
160,regular,2025-02-11 04:45:16,1809.07,6.77
161,high_frequency,2025-01-23 12:36:48,576.6,13.2
162,low_frequency,2025-02-26 11:55:22,2058.47,0.82
163,regular,2025-03-11 00:18:16,1461.81,3.89
164,high_frequency,2025-01-17 11:57:18,1713.4,11.63
165,high_frequency,2025-02-17 07:55:47,961.92,10.21
166,low_frequency,2025-02-10 07:29:15,694.54,0.2
167,regular,2025-03-31 06:17:32,901.2,3.07
168,low_frequency,2025-04-10 02:45:39,1042.82,1.29
169,low_frequency,2025-02-02 09:26:47,474.82,0.66
170,high_frequency,2025-04-15 06:54:57,2479.04,10.11
171,high_frequency,2025-02-17 10:37:48,669.66,16.02
172,low_frequency,2025-01-24 01:08:22,812.0,1.03
173,high_value,2025-01-14 04:11:34,10767.75,3.61
174,regular,2025-02-13 07:02:04,2378.97,3.93
175,high_value,2025-02-18 11:16:23,3151.75,3.78
176,high_frequency,2025-05-20 11:55:46,1247.78,14.78
177,high_value,2025-04-16 11:03:46,2008.75,5.02
178,high_frequency,2025-03-25 22:01:59,546.61,7.53
179,high_value,2025-03-23 11:06:33,2764.87,3.16
180,regular,2025-03-21 15:00:50,557.61,5.93
181,low_frequency,2025-01-08 07:53:06,1213.45,1.29
182,low_frequency,2025-03-06 08:52:52,1541.72,1.58
183,high_frequency,2025-03-15 14:45:54,3894.07,5.62
184,low_frequency,2025-04-06 16:52:02,2648.36,2.4
185,high_value,2025-02-11 05:56:07,2336.51,1.63
186,low_frequency,2025-01-05 04:29:15,1551.22,1.13
187,high_frequency,2025-02-26 11:26:13,1299.12,16.88
188,regular,2025-04-19 07:38:23,1598.34,2.03
189,high_frequency,2025-03-15 03:23:50,8202.42,6.0
190,high_value,2025-02-01 03:06:55,3832.04,0.2
191,regular,2025-01-25 05:08:51,689.77,4.98
192,regular,2025-01-05 03:57:32,1708.13,2.08
193,low_frequency,2025-01-22 21:02:31,760.69,1.05
194,high_frequency,2025-01-21 19:22:59,606.53,7.83
195,high_frequency,2025-03-23 14:00:41,952.47,17.96
196,low_frequency,2025-01-22 09:02:06,1220.43,0.85
197,low_frequency,2025-02-04 07:50:48,663.59,0.42
198,regular,2025-02-13 20:42:13,3663.67,2.77
199,low_frequency,2025-02-20 03:57:21,959.1,1.34
200,high_frequency,2025-03-06 06:22:57,875.43,6.04
201,low_frequency,2025-02-15 20:56:51,1000.17,0.51
202,high_value,2025-02-02 02:41:41,2121.25,2.74
203,high_value,2025-04-29 21:47:39,5631.75,4.42
204,high_value,2025-01-15 11:12:14,2426.83,1.99
205,regular,2025-02-26 17:17:48,2402.86,4.62
206,low_frequency,2025-01-30 03:26:47,1074.48,0.2
207,high_frequency,2025-01-19 04:10:51,2721.01,18.03
208,regular,2025-01-03 12:34:15,3464.99,6.87
209,high_value,2025-03-12 10:26:25,6075.44,2.54
210,low_frequency,2025-02-07 06:49:46,1567.6,1.04
211,low_frequency,2025-02-11 17:25:15,2739.26,1.21
212,high_value,2025-01-15 06:45:02,7111.41,0.2
213,high_frequency,2025-02-05 09:38:50,2005.17,14.85
214,low_frequency,2025-03-02 13:45:08,3103.63,1.09
215,regular,2025-04-18 01:21:43,804.39,6.19
216,low_frequency,2025-05-22 14:33:37,1518.44,1.47
217,regular,2025-02-07 06:56:00,1773.86,5.5
218,low_frequency,2025-02-16 08:26:41,3435.08,0.67
219,low_frequency,2025-02-13 19:12:45,1644.13,1.06
220,low_frequency,2025-02-04 11:16:34,1340.27,0.31
221,low_frequency,2025-01-17 20:43:58,184.21,0.73
222,regular,2025-01-09 06:15:06,848.36,3.73
223,low_frequency,2025-02-13 03:44:33,1190.16,1.44
224,regular,2025-02-01 14:04:53,893.55,4.89
225,regular,2025-02-01 04:46:49,956.33,6.97
226,regular,2025-03-04 19:58:17,2474.81,3.56
227,regular,2025-02-23 11:42:15,1804.22,1.9
228,low_frequency,2025-01-19 05:44:19,1373.89,0.98
229,low_frequency,2025-03-28 15:45:15,1305.31,1.11
230,high_frequency,2025-03-04 02:58:23,650.68,7.38
231,high_frequency,2025-02-10 15:36:34,1264.22,9.42
232,high_value,2025-02-24 21:31:33,2434.41,2.63
233,high_value,2025-03-17 09:47:41,837.34,4.58
234,regular,2025-03-12 13:42:47,883.5,4.56
235,high_frequency,2025-03-10 18:38:30,1411.01,14.53
236,regular,2025-02-12 00:25:56,764.83,7.01
237,high_frequency,2025-01-17 06:58:52,813.05,14.91
238,high_value,2025-03-14 11:02:52,8798.0,0.47
239,high_frequency,2025-01-24 01:24:55,1312.72,18.29
240,regular,2025-03-15 20:03:29,3391.79,5.0
241,low_frequency,2025-02-13 16:56:34,1433.41,0.48
242,low_frequency,2025-01-07 03:40:46,3759.71,0.48
243,low_frequency,2025-01-14 07:26:50,635.29,1.17
244,high_frequency,2025-01-24 08:32:19,735.57,10.14
245,regular,2025-03-23 20:42:25,943.93,3.45
246,low_frequency,2025-03-29 12:56:18,1146.06,1.71
247,regular,2025-03-13 19:52:05,1484.9,3.35
248,low_frequency,2025-01-25 04:30:52,1263.24,0.82
249,regular,2025-01-08 10:46:13,808.37,5.77
250,low_frequency,2025-01-20 04:37:30,540.37,0.66
251,regular,2025-05-01 05:26:16,456.49,7.31
252,regular,2025-01-07 16:33:01,2387.86,4.36
253,regular,2025-03-05 03:08:27,999.45,3.46
254,high_frequency,2025-02-11 13:33:19,1779.09,11.63
255,low_frequency,2025-01-30 21:26:13,1356.79,0.98
256,regular,2025-01-31 00:54:21,6933.58,5.01
257,low_frequency,2025-01-19 00:19:28,979.1,1.4
258,regular,2025-04-01 13:23:19,1488.37,5.99
259,regular,2025-03-02 19:50:01,2043.15,2.16
260,regular,2025-01-19 18:13:35,2449.92,4.36
261,high_value,2025-04-04 07:59:57,4562.03,3.07
262,low_frequency,2025-01-01 17:34:08,1336.61,1.48
263,high_frequency,2025-02-03 23:27:55,2389.04,18.84
264,low_frequency,2025-03-28 19:52:02,1981.16,1.66
265,regular,2025-04-08 17:09:29,623.92,5.06
266,high_frequency,2025-01-12 11:24:53,933.09,14.56
267,regular,2025-02-08 08:41:45,3889.1,2.68
268,high_frequency,2025-02-11 05:45:59,1808.12,11.29
269,high_frequency,2025-01-17 21:48:18,2230.88,13.66
270,low_frequency,2025-03-17 03:18:07,399.82,0.52
271,high_value,2025-02-20 21:59:40,2169.34,2.09
272,high_value,2025-02-11 08:53:03,9454.3,0.2
273,regular,2025-01-06 12:02:23,2009.32,0.2
274,low_frequency,2025-03-08 17:13:01,1423.95,0.91
275,low_frequency,2025-02-02 02:49:52,1561.99,1.43
276,high_frequency,2025-03-03 01:53:49,742.17,11.21
277,high_value,2025-01-30 14:01:42,1015.25,5.56
278,high_frequency,2025-04-26 09:18:35,1354.18,13.26
279,low_frequency,2025-01-19 20:19:52,681.57,0.9
280,low_frequency,2025-01-14 14:15:52,977.81,0.99
281,regular,2025-01-10 03:04:48,1727.74,5.19
282,low_frequency,2025-01-18 05:34:39,412.79,1.25
283,low_frequency,2025-05-16 09:19:58,1646.92,1.48
284,low_frequency,2025-02-18 03:47:49,2088.85,1.07
285,low_frequency,2025-01-30 12:09:43,633.76,1.09
286,low_frequency,2025-01-21 12:49:46,1055.4,0.32
287,high_frequency,2025-02-03 01:32:08,1322.91,19.09
288,low_frequency,2025-01-28 15:18:34,1897.89,1.46
289,regular,2025-03-18 02:09:35,2958.48,4.21
290,regular,2025-03-01 12:36:05,2644.32,3.91
291,high_value,2025-01-13 07:31:16,1775.52,4.04
292,high_frequency,2025-02-15 02:30:32,712.22,10.61
293,regular,2025-03-16 21:34:22,723.06,6.84
294,regular,2025-03-27 07:15:35,1419.57,3.77
295,regular,2025-02-24 05:00:20,1674.79,2.64
296,regular,2025-01-02 08:13:54,936.47,2.09
297,regular,2025-02-25 03:17:48,1201.35,3.53
298,regular,2025-04-02 17:45:48,799.67,2.01
299,regular,2025-03-29 21:03:51,2258.09,5.17
300,low_frequency,2025-01-11 11:51:18,415.12,0.59
301,low_frequency,2025-01-16 04:56:58,2098.9,1.33
302,low_frequency,2025-06-03 09:55:33,1793.62,0.2
303,regular,2025-03-07 15:13:57,1433.31,0.44
304,regular,2025-02-17 23:54:59,2550.4,6.07
305,regular,2025-01-27 15:32:46,949.29,2.66
306,low_frequency,2025-01-07 16:55:31,3075.97,1.18
307,low_frequency,2025-01-27 14:48:21,1735.71,0.57
308,low_frequency,2025-03-01 05:13:33,1945.56,0.7
309,regular,2025-02-26 22:29:59,695.01,5.73
310,low_frequency,2025-02-06 01:50:44,1032.56,0.7
311,low_frequency,2025-02-17 06:38:23,1304.07,0.67
312,low_frequency,2025-02-06 11:59:33,831.48,0.84
313,regular,2025-01-25 08:16:14,1258.91,4.25
314,low_frequency,2025-02-17 15:29:26,1033.92,1.32
315,regular,2025-02-22 18:23:41,1223.57,0.7
316,regular,2025-02-18 03:07:24,1958.06,3.14
317,high_value,2025-01-30 18:04:21,1256.58,3.59
318,regular,2025-02-13 00:47:04,1545.54,4.18
319,low_frequency,2025-02-21 06:47:27,865.28,1.03
320,low_frequency,2025-01-02 14:04:17,794.87,1.57
321,high_frequency,2025-03-09 10:03:42,2541.12,11.68
322,low_frequency,2025-02-09 12:43:30,1661.18,1.2
323,high_value,2025-01-06 16:38:07,7335.87,4.36
324,regular,2025-02-04 03:02:09,978.57,4.7
325,low_frequency,2025-01-16 06:30:16,1783.03,0.49
326,low_frequency,2025-01-29 04:37:26,715.93,1.05
327,high_value,2025-01-26 04:02:14,7177.54,1.16
328,high_value,2025-03-07 16:43:37,1695.39,4.27
329,high_frequency,2025-03-24 01:33:00,762.86,3.27
330,low_frequency,2025-02-08 02:07:32,1014.49,0.91
331,high_frequency,2025-04-22 17:51:09,5816.75,17.41
332,low_frequency,2025-02-17 09:26:26,1450.54,0.23
333,low_frequency,2025-01-17 16:38:32,1359.65,1.16
334,regular,2025-02-06 23:09:05,1571.36,6.34
335,high_value,2025-02-27 11:12:25,3065.78,1.73
336,regular,2025-02-02 03:30:24,982.69,4.43
337,regular,2025-02-27 04:10:31,3077.49,3.78
338,low_frequency,2025-03-07 22:12:36,1634.86,0.98
339,regular,2025-02-02 13:11:53,7100.5,3.42
340,low_frequency,2025-01-20 18:21:26,775.66,0.71
341,high_frequency,2025-04-28 18:08:34,1430.07,10.16
342,low_frequency,2025-01-28 11:49:52,583.62,0.97
343,regular,2025-02-14 19:59:39,1288.51,2.82
344,low_frequency,2025-01-25 23:33:54,1075.24,1.38
345,regular,2025-03-10 17:42:34,1599.59,4.09
346,low_frequency,2025-01-23 22:20:34,2119.31,1.06
347,regular,2025-01-31 22:36:35,1066.36,3.64
348,regular,2025-05-04 21:47:41,705.26,5.61
349,regular,2025-01-19 03:04:12,1298.4,4.38
350,high_value,2025-01-23 07:01:08,3441.98,3.9
351,low_frequency,2025-02-06 10:40:57,1743.73,1.16
352,regular,2025-01-06 15:31:12,657.0,1.3
353,high_value,2025-02-14 00:21:04,6158.42,2.83
354,low_frequency,2025-01-06 01:53:46,898.29,1.12
355,high_frequency,2025-01-06 02:40:16,1321.04,11.09
356,high_value,2025-01-18 19:37:51,12952.66,4.24
357,high_frequency,2025-01-29 08:33:07,647.7,6.25
358,regular,2025-01-04 16:01:18,1226.64,4.54
359,regular,2025-02-18 17:24:33,1877.67,4.66
360,regular,2025-02-18 02:08:10,239.4,5.12
361,regular,2025-01-26 01:31:11,3252.95,4.75
362,high_value,2025-01-03 22:53:28,4735.84,2.95
363,low_frequency,2025-03-14 14:36:33,860.35,1.42
364,high_frequency,2025-01-26 14:37:22,1220.52,14.24
365,regular,2025-01-02 14:35:14,2109.78,4.19
366,low_frequency,2025-02-13 18:37:07,672.34,0.67
367,regular,2025-03-06 17:13:33,8703.68,1.92
368,high_frequency,2025-04-23 03:04:40,3340.9,19.25
369,regular,2025-04-07 21:36:26,614.99,2.62
370,high_frequency,2025-01-09 12:24:11,1030.19,6.61
371,low_frequency,2025-01-13 09:03:15,768.9,0.72
372,high_value,2025-01-31 13:09:25,6618.3,4.21
373,regular,2025-01-23 20:04:23,3445.42,5.04
374,high_frequency,2025-01-28 16:41:39,4074.04,10.02
375,low_frequency,2025-01-15 02:40:35,1822.25,1.34
376,regular,2025-02-20 05:14:28,2289.05,4.06
377,high_value,2025-01-26 16:23:42,1265.56,4.02
378,low_frequency,2025-03-22 12:08:25,1313.84,0.36
379,regular,2025-03-18 21:52:26,1203.55,3.23
380,high_frequency,2025-01-23 01:39:56,2330.26,17.25
381,regular,2025-03-06 21:00:23,1843.64,4.24
382,high_frequency,2025-03-06 23:06:50,1555.79,9.47
383,regular,2025-01-08 03:44:43,1211.21,4.95
384,high_value,2025-01-16 23:55:07,3990.68,2.65
385,regular,2025-03-28 06:33:51,796.06,2.92
386,regular,2025-02-04 01:57:26,3184.6,3.78
387,high_frequency,2025-03-03 01:31:46,757.07,17.11
388,regular,2025-02-04 11:31:05,2391.76,3.74
389,low_frequency,2025-01-03 18:58:29,1093.96,1.11
390,low_frequency,2025-02-15 03:45:47,2002.41,1.45
391,regular,2025-01-12 07:00:00,631.2,2.61
392,high_frequency,2025-02-20 21:14:14,878.28,14.79
393,regular,2025-02-08 18:02:11,2884.41,4.58
394,high_frequency,2025-02-10 08:19:48,871.54,18.57
395,high_frequency,2025-03-07 14:14:29,1467.74,6.12
396,low_frequency,2025-04-05 17:09:37,3765.41,0.4
397,regular,2025-04-09 22:39:13,2197.63,2.92
398,regular,2025-03-19 14:59:44,1874.55,6.28
399,low_frequency,2025-02-11 19:33:04,629.02,2.1
400,regular,2025-03-05 15:49:33,1920.48,5.98
401,regular,2025-03-10 13:08:48,1769.73,2.93
402,high_frequency,2025-02-14 21:51:42,4275.16,14.57
403,regular,2025-01-28 01:42:09,1753.38,3.24
404,low_frequency,2025-01-10 11:21:43,504.79,1.55
405,regular,2025-02-26 21:38:19,2284.39,3.93
406,high_frequency,2025-01-09 10:53:02,1111.71,12.14
407,regular,2025-06-07 15:04:32,1685.22,5.06
408,low_frequency,2025-01-29 06:31:37,973.96,0.8
409,high_value,2025-04-25 08:09:26,2767.37,5.67
410,low_frequency,2025-02-28 21:53:10,881.12,1.2
411,low_frequency,2025-01-15 22:03:31,422.83,1.02
412,regular,2025-03-19 10:14:31,856.21,4.37
413,regular,2025-02-03 10:19:06,1049.14,4.23
414,high_frequency,2025-01-11 18:46:21,303.18,13.45
415,low_frequency,2025-01-24 03:50:47,2902.04,0.61
416,high_frequency,2025-02-03 08:42:42,485.51,16.07
417,regular,2025-01-19 17:24:41,2126.09,0.2
418,high_frequency,2025-02-22 06:28:06,1219.5,6.79
419,high_value,2025-02-10 09:58:43,3935.4,3.64
420,high_frequency,2025-01-01 10:04:28,1831.3,11.02
421,low_frequency,2025-01-02 08:09:02,719.51,1.23
422,low_frequency,2025-02-13 07:49:54,1053.21,0.2
423,high_value,2025-01-01 16:12:47,1976.35,2.55
424,regular,2025-05-09 04:28:13,679.06,3.39
425,regular,2025-02-13 09:44:41,628.32,2.6
426,high_value,2025-01-16 06:55:09,4978.06,0.62
427,high_frequency,2025-02-19 06:38:38,977.09,20.63
428,regular,2025-01-02 14:59:20,756.78,4.41
429,high_frequency,2025-01-11 23:32:57,2183.45,7.62
430,low_frequency,2025-03-23 17:34:05,832.36,0.79
431,high_frequency,2025-01-04 12:00:30,1065.24,13.75
432,high_value,2025-01-16 22:00:59,3164.16,2.47
433,low_frequency,2025-03-04 20:02:08,657.63,1.06
434,low_frequency,2025-02-05 11:19:26,1082.39,1.26
435,high_frequency,2025-02-05 05:54:29,2002.42,15.91
436,regular,2025-02-24 11:00:43,2886.35,4.5
437,low_frequency,2025-02-17 12:14:52,2353.7,1.14
438,low_frequency,2025-03-09 21:04:42,2504.93,0.74
439,low_frequency,2025-03-05 23:20:03,2015.34,0.47
440,low_frequency,2025-04-04 20:04:43,1910.9,0.78
441,high_frequency,2025-03-15 01:21:24,1340.13,14.37
442,regular,2025-01-18 21:42:50,4154.66,5.39
443,regular,2025-01-24 10:14:38,1801.67,3.67
444,low_frequency,2025-01-29 09:14:04,2626.77,1.78
445,regular,2025-01-28 11:09:56,1841.58,6.87
446,low_frequency,2025-01-13 12:08:34,2839.38,0.57
447,high_frequency,2025-03-20 22:24:25,5214.46,3.69
448,high_value,2025-04-05 19:40:37,5655.42,3.66
449,regular,2025-03-18 22:05:24,896.04,4.66
450,high_value,2025-01-08 05:11:16,4443.68,4.04
451,low_frequency,2025-05-18 21:50:59,656.83,0.27
452,low_frequency,2025-01-12 13:17:30,1906.07,1.2
453,high_frequency,2025-02-24 12:52:00,1881.76,16.54
454,low_frequency,2025-03-01 01:54:35,755.11,0.72
455,high_value,2025-02-25 03:16:38,2955.31,5.77
456,low_frequency,2025-01-08 14:50:41,577.0,0.76
457,high_frequency,2025-02-18 06:54:12,1281.58,19.94
458,low_frequency,2025-02-18 12:01:36,4602.34,1.25
459,low_frequency,2025-01-25 03:29:33,747.26,0.55
460,regular,2025-02-24 16:42:33,669.01,4.6
461,high_value,2025-02-13 15:19:53,6237.76,4.62
462,regular,2025-03-04 09:51:48,997.64,5.46
463,regular,2025-05-22 21:09:40,1178.94,3.72
464,low_frequency,2025-01-11 07:57:25,1410.87,0.72
465,low_frequency,2025-01-24 07:15:54,813.74,1.25
466,low_frequency,2025-03-04 02:19:43,958.95,1.5
467,high_frequency,2025-04-04 07:46:40,600.02,5.37
468,low_frequency,2025-06-08 13:28:42,3130.49,1.09
469,low_frequency,2025-01-23 03:31:59,829.61,0.97
470,regular,2025-02-19 13:36:11,2934.48,5.98
471,regular,2025-02-01 11:02:36,1263.17,4.76
472,regular,2025-01-28 00:51:47,378.86,3.56
473,low_frequency,2025-03-12 05:24:20,636.35,1.65
474,regular,2025-03-01 18:09:44,1176.6,5.27
475,regular,2025-01-22 07:25:57,1484.9,7.49
476,low_frequency,2025-02-06 11:18:30,551.23,1.06
477,regular,2025-03-29 00:15:17,1091.74,7.93
478,low_frequency,2025-01-12 09:00:14,1411.29,0.45
479,high_value,2025-03-08 02:14:50,10912.76,2.05
480,high_value,2025-01-18 13:16:08,1392.91,1.59
481,low_frequency,2025-03-29 09:03:08,2772.46,1.43
482,regular,2025-02-23 11:54:04,1248.08,4.54
483,regular,2025-01-16 11:39:30,1099.84,5.66
484,high_frequency,2025-04-22 06:26:43,557.59,18.77
485,regular,2025-02-09 13:31:50,1223.99,3.54
486,regular,2025-03-18 07:04:13,1371.89,3.5
487,low_frequency,2025-02-13 01:51:01,3539.13,0.2
488,low_frequency,2025-01-26 06:06:03,1494.05,1.96
489,regular,2025-04-09 05:39:06,3538.78,4.38
490,regular,2025-03-09 02:44:00,453.86,1.98
491,high_frequency,2025-01-28 14:29:22,1150.36,10.5
